iter	Logloss
0	0.6438754678
1	0.6011962364
2	0.5659778808
3	0.533593655
4	0.5056355822
5	0.4799057137
6	0.458696532
7	0.4388262645
8	0.4224315485
9	0.4076078618
10	0.3948219094
11	0.3834053301
12	0.3731297315
13	0.3644186793
14	0.3561210466
15	0.3491858214
16	0.3422514247
17	0.3354542713
18	0.328715925
19	0.3241688201
20	0.3193567846
21	0.3146929606
22	0.3109086389
23	0.3072909126
24	0.3038298984
25	0.3000233134
26	0.2969287502
27	0.2946062128
28	0.2923098962
29	0.2900383835
30	0.2885093809
31	0.2857936619
32	0.2839252346
33	0.2818045382
34	0.2806781781
35	0.279441868
36	0.2778520969
37	0.2758188441
38	0.2747763566
39	0.2737535516
40	0.2723730902
41	0.2714980561
42	0.2706573288
43	0.2694303784
44	0.2682046765
45	0.2675415103
46	0.2666077854
47	0.2652939074
48	0.264644302
49	0.2641131196
50	0.2635151279
51	0.2629371762
52	0.2616788492
53	0.2612277532
54	0.2607245705
55	0.2602507681
56	0.2598553653
57	0.2587207991
58	0.2575780228
59	0.2571907813
60	0.2567117056
61	0.2558955103
62	0.2553091259
63	0.2545022565
64	0.2538486226
65	0.2533953402
66	0.2528149848
67	0.2524238724
68	0.2520554556
69	0.2517426249
70	0.2513753195
71	0.2510371524
72	0.250335593
73	0.2498342852
74	0.2490417831
75	0.2487189703
76	0.2483755848
77	0.2480780612
78	0.2477899217
79	0.2472841396
80	0.2470294578
81	0.2465537075
82	0.2461252873
83	0.2457727341
84	0.245457831
85	0.2452674598
86	0.2446987967
87	0.2444597662
88	0.2440798578
89	0.2439113031
90	0.2434108653
91	0.2431961994
92	0.2428464932
93	0.2425643251
94	0.2422556754
95	0.2419523388
96	0.2417074667
97	0.2414862019
98	0.2412278582
99	0.2410535951
100	0.240598238
101	0.2403403183
102	0.2401529674
103	0.2398382363
104	0.239633099
105	0.2394515034
106	0.239248824
107	0.2388759771
108	0.2387359758
109	0.2383724733
110	0.2381079139
111	0.2377719299
112	0.2376070847
113	0.2373446508
114	0.2371634881
115	0.2369020711
116	0.2367450762
117	0.2365863863
118	0.2363147325
119	0.2361695632
120	0.2359108398
121	0.2357666407
122	0.2356179377
123	0.2354785983
124	0.2352664858
125	0.2350837251
126	0.2348923927
127	0.2347880791
128	0.2346864868
129	0.2345404594
130	0.2344075448
131	0.2342439693
132	0.234023922
133	0.2338390198
134	0.2336028408
135	0.2334444007
136	0.2332083009
137	0.2328985423
138	0.2327406933
139	0.232638727
140	0.2324987474
141	0.2323273067
142	0.2322070576
143	0.2321119273
144	0.2319540149
145	0.2318459025
146	0.2316473274
147	0.2315235595
148	0.2313991399
149	0.2312288508
150	0.2310575915
151	0.2307383923
152	0.23063383
153	0.230554063
154	0.2304447011
155	0.2303643243
156	0.2302345994
157	0.2301410722
158	0.230026771
159	0.2299245757
160	0.2298459343
161	0.2297064619
162	0.2296474774
163	0.2295420291
164	0.2294076769
165	0.2292544033
166	0.2291619098
167	0.2290291727
168	0.2289316706
169	0.2287319479
170	0.228597595
171	0.228444762
172	0.2283061527
173	0.2282066547
174	0.2281191194
175	0.2278686169
176	0.2276480716
177	0.2274865122
178	0.2273614895
179	0.2272631753
180	0.2268433127
181	0.2266930163
182	0.2266148574
183	0.2264772
184	0.2263885962
185	0.2262727343
186	0.226019302
187	0.2259036598
188	0.2257655474
189	0.2256734174
190	0.2255682946
191	0.2254064257
192	0.2253217398
193	0.2252149142
194	0.2251227793
195	0.2250423078
196	0.2248964216
197	0.2247066289
198	0.2245871305
199	0.2244904032
200	0.2244063127
201	0.2242911821
202	0.2241867139
203	0.2238523419
204	0.2237226292
205	0.2236015961
206	0.223499078
207	0.2233678004
208	0.2232080229
209	0.2231143909
210	0.2230395992
211	0.2229532546
212	0.2228009667
213	0.2227083891
214	0.2225433072
215	0.2223945173
216	0.2222716096
217	0.2221980708
218	0.2221041166
219	0.2220127078
220	0.2218406645
221	0.2217660857
222	0.2216535858
223	0.2215781495
224	0.2214982414
225	0.2213515839
226	0.2212850738
227	0.2211903925
228	0.221056046
229	0.2209357093
230	0.2208666825
231	0.2207332072
232	0.2206299285
233	0.2205450751
234	0.2204205747
235	0.2202766609
236	0.2201848365
237	0.2200979779
238	0.2200340765
239	0.2199695151
240	0.2198808634
241	0.2198377252
242	0.2197242175
243	0.2194682461
244	0.2193943232
245	0.2192751583
246	0.2190544719
247	0.2189349164
248	0.2188591575
249	0.2187523197
250	0.2186470941
251	0.2184383129
252	0.2183436717
253	0.2182557875
254	0.2181824786
255	0.2181156152
256	0.2179747406
257	0.2178350556
258	0.2177308472
259	0.2176190598
260	0.2175573482
261	0.2174485312
262	0.2173249894
263	0.2171924227
264	0.2171316508
265	0.2170065793
266	0.2169351399
267	0.2168755266
268	0.2168177222
269	0.2167457317
270	0.2166822544
271	0.2166138957
272	0.2165591378
273	0.2164750568
274	0.2163963087
275	0.2163371856
276	0.2162533875
277	0.2161492029
278	0.2161120494
279	0.2160415536
280	0.2159990333
281	0.2158844834
282	0.2157147781
283	0.2155875989
284	0.2155022115
285	0.2154482376
286	0.2153571201
287	0.2152265038
288	0.2151231001
289	0.2150456854
290	0.2149672948
291	0.2149294981
292	0.2148777254
293	0.2147987009
294	0.2147572036
295	0.2146961717
296	0.2145961624
297	0.2144893965
298	0.2144210306
299	0.2143567607
300	0.2143202805
301	0.2139955622
302	0.2139326727
303	0.2138424711
304	0.2137949302
305	0.2136821484
306	0.2136241088
307	0.2135481258
308	0.2135018182
309	0.2134449675
310	0.2133300839
311	0.2132820444
312	0.2132287138
313	0.2131803606
314	0.2131154884
315	0.2129451544
316	0.2128780741
317	0.2128164411
318	0.2127457037
319	0.2126736646
320	0.2125910586
321	0.2125374994
322	0.2124330216
323	0.2123741215
324	0.2122689893
325	0.2122048787
326	0.212155062
327	0.2119824953
328	0.2119361676
329	0.2118377892
330	0.2117404917
331	0.2116837651
332	0.2115907117
333	0.2115502799
334	0.2115097973
335	0.2114462507
336	0.2113574512
337	0.2112694175
338	0.2112078351
339	0.2111422182
340	0.2110751076
341	0.2109800381
342	0.2109200503
343	0.2108760256
344	0.2107722412
345	0.2106373696
346	0.2105531322
347	0.210466254
348	0.2103575575
349	0.2102148065
350	0.2101347381
351	0.2100174765
352	0.2099466574
353	0.209896211
354	0.2098581336
355	0.2097968839
356	0.2096581756
357	0.2095788865
358	0.2094935163
359	0.20941253
360	0.2093706468
361	0.2092495667
362	0.209172276
363	0.2091241216
364	0.2090809729
365	0.2090171298
366	0.2089630032
367	0.2089241333
368	0.2088704002
369	0.208845019
370	0.2087929566
371	0.2087341539
372	0.2087078563
373	0.208677256
374	0.2086565554
375	0.2086280643
376	0.2085793452
377	0.2084878141
378	0.2084368444
379	0.2084034564
380	0.2083045329
381	0.2082324063
382	0.2081284216
383	0.2080781943
384	0.2080043515
385	0.207918416
386	0.2078701315
387	0.2077813223
388	0.2077107117
389	0.2076429669
390	0.2076151998
391	0.2075397788
392	0.2074969991
393	0.2074519071
394	0.2073289345
