iter	Passed	Remaining
0	44	89428
1	87	87002
2	131	87651
3	176	87998
4	222	88844
5	268	89356
6	317	90485
7	362	90210
8	404	89462
9	446	88886
10	492	89027
11	534	88558
12	576	88089
13	618	87737
14	660	87463
15	703	87195
16	748	87357
17	796	87734
18	845	88152
19	888	87935
20	931	87774
21	977	87907
22	1024	88103
23	1066	87840
24	1113	87972
25	1166	88544
26	1209	88360
27	1254	88381
28	1300	88374
29	1344	88256
30	1386	88036
31	1434	88200
32	1476	88015
33	1527	88346
34	1570	88148
35	1613	88011
36	1657	87930
37	1704	88026
38	1752	88103
39	1795	87990
40	1843	88083
41	1890	88148
42	1938	88237
43	1981	88070
44	2031	88265
45	2078	88295
46	2122	88200
47	2170	88281
48	2215	88219
49	2262	88229
50	2305	88106
51	2352	88130
52	2399	88165
53	2441	87995
54	2485	87886
55	2533	87936
56	2574	87764
57	2617	87628
58	2666	87731
59	2713	87733
60	2760	87734
61	2802	87586
62	2846	87517
63	2892	87511
64	2941	87571
65	2989	87602
66	3031	87472
67	3077	87435
68	3126	87483
69	3169	87399
70	3212	87294
71	3259	87292
72	3307	87307
73	3350	87192
74	3393	87100
75	3435	86980
76	3484	87033
77	3530	86997
78	3578	87013
79	3625	87007
80	3673	87032
81	3720	87028
82	3764	86945
83	3811	86937
84	3858	86923
85	3898	86764
86	3940	86655
87	3992	86744
88	4035	86652
89	4076	86511
90	4119	86425
91	4167	86433
92	4216	86459
93	4258	86348
94	4301	86247
95	4347	86231
96	4395	86226
97	4441	86210
98	4489	86204
99	4537	86221
100	4580	86117
101	4622	86013
102	4670	86011
103	4716	85990
104	4761	85928
105	4805	85868
106	4849	85797
107	4891	85696
108	4940	85702
109	4982	85607
110	5031	85617
111	5075	85563
112	5118	85476
113	5161	85395
114	5203	85297
115	5249	85252
116	5297	85251
117	5351	85349
118	5401	85373
119	5451	85414
120	5503	85461
121	5555	85515
122	5608	85581
123	5658	85610
124	5705	85577
125	5751	85542
126	5796	85483
127	5845	85484
128	5895	85505
129	5943	85490
130	5990	85468
131	6040	85489
132	6082	85382
133	6127	85329
134	6170	85241
135	6213	85165
136	6258	85106
137	6303	85050
138	6345	84957
139	6388	84878
140	6431	84790
141	6474	84713
142	6516	84627
143	6559	84540
144	6602	84466
145	6647	84413
146	6691	84344
147	6736	84298
148	6781	84247
149	6823	84160
150	6870	84135
151	6916	84088
152	6958	84001
153	7001	83926
154	7044	83851
155	7089	83796
156	7131	83716
157	7176	83659
158	7225	83664
159	7272	83633
160	7314	83549
161	7364	83551
162	7406	83475
163	7452	83426
164	7494	83351
165	7536	83268
166	7579	83198
167	7621	83106
168	7667	83075
169	7711	83017
170	7755	82948
171	7798	82878
172	7838	82783
173	7887	82772
174	7932	82722
175	7973	82637
176	8018	82587
177	8060	82511
178	8103	82434
179	8144	82347
180	8186	82269
181	8231	82229
182	8276	82177
183	8320	82124
184	8363	82050
185	8411	82036
186	8455	81978
187	8497	81905
188	8539	81826
189	8581	81746
190	8630	81738
191	8672	81667
192	8719	81634
193	8771	81656
194	8819	81639
195	8863	81583
196	8906	81510
197	8946	81421
198	8991	81377
199	9033	81304
200	9075	81231
201	9117	81158
202	9160	81087
203	9201	81012
204	9245	80955
205	9300	80992
206	9351	80998
207	9397	80966
208	9441	80909
209	9488	80881
210	9534	80842
211	9578	80788
212	9623	80739
213	9667	80686
214	9713	80641
215	9759	80603
216	9809	80604
217	9852	80540
218	9902	80529
219	9949	80497
220	9993	80444
221	10038	80396
222	10081	80333
223	10123	80265
224	10166	80200
225	10210	80148
226	10253	80083
227	10308	80116
228	10355	80088
229	10399	80028
230	10449	80018
231	10495	79980
232	10538	79922
233	10581	79855
234	10623	79789
235	10668	79742
236	10710	79674
237	10757	79638
238	10798	79567
239	10841	79501
240	10887	79465
241	10933	79428
242	10976	79365
243	11018	79293
244	11060	79229
245	11105	79180
246	11148	79120
247	11193	79078
248	11237	79026
249	11284	78993
250	11328	78936
251	11370	78874
252	11419	78856
253	11467	78829
254	11510	78769
255	11552	78704
256	11601	78685
257	11651	78670
258	11693	78606
259	11735	78539
260	11779	78485
261	11829	78468
262	11871	78408
263	11919	78380
264	11962	78321
265	12004	78253
266	12051	78223
267	12093	78155
268	12136	78094
269	12180	78046
270	12224	77994
271	12266	77926
272	12308	77863
273	12352	77808
274	12393	77742
275	12437	77692
276	12481	77635
277	12525	77589
278	12568	77528
279	12615	77495
280	12657	77432
281	12702	77386
282	12746	77336
283	12790	77280
284	12831	77212
285	12873	77151
286	12923	77133
287	12967	77084
288	13015	77059
289	13058	76999
290	13101	76945
291	13144	76884
292	13187	76827
293	13229	76768
294	13273	76718
295	13316	76658
296	13360	76610
297	13401	76542
298	13449	76511
299	13492	76456
300	13537	76414
301	13581	76359
302	13627	76322
303	13671	76272
304	13715	76222
305	13764	76197
306	13808	76148
307	13848	76079
308	13892	76025
309	13934	75962
310	13979	75918
311	14025	75879
312	14068	75825
313	14116	75796
314	14164	75766
315	14206	75707
316	14252	75667
317	14296	75616
318	14338	75558
319	14381	75500
320	14423	75441
321	14468	75395
322	14517	75372
323	14560	75318
324	14604	75267
325	14650	75229
326	14699	75208
327	14743	75155
328	14784	75091
329	14826	75032
330	14875	75008
331	14922	74971
332	14965	74917
333	15007	74856
334	15048	74794
335	15093	74748
336	15142	74722
337	15186	74673
338	15228	74615
339	15277	74591
340	15319	74531
341	15361	74472
342	15404	74416
343	15450	74378
344	15497	74341
345	15540	74288
346	15582	74232
347	15629	74196
348	15673	74147
349	15715	74087
350	15757	74027
351	15800	73974
